node_id,node_type,label,uri,local_status,dependency_completeness,average_tokens_per_epoch,basis,evidence,notes
component:dolci-toolu:s2-m5v2,source_component,OLMo ToolU Science QA S2 M5v2,,inherited,complete,,Generated Science QA trajectory layer plus Semantic Scholar response data,legal/reports/dfm9-dolci-toolu-component-audit.md,5417 rows; 5304 contain abstract fields.
generated:dfm8:synthetic-pipeline,generated_contribution,DFM8 generated/audited synthetic contribution,,cleared,complete,,Project-generated and audited; pipeline evidence retained,,
generated:dfm:da-refusals,work_or_contribution,DFM Danish refusal generation,,cleared,complete,,CC-BY-4.0/project contribution,,
generated:dfm:sapient-repair,generated_contribution,DFM Sapient repair/regeneration layer,,cleared,complete,,Project-generated repair contribution,,
generated:dfm:when2call,work_or_contribution,DFM When2Call generation,,cleared,complete,,CC-BY-4.0/project contribution,,
generated:dfm:wildchat-qwen-responses,generated_contribution,Qwen-regenerated WildChat responses,,cleared,complete,,Authorized DFM/Synquid contribution,,
generated:dolci:hardcoded,generated_contribution,DOLCI hardcoded data,,cleared,complete,,Ai2-authored DOLCI contribution under ODC-By for research and education,DOLCI main dataset card,69 rows.
generated:dolci:precise-if,generated_contribution,DOLCI Precise IF prompts,,cleared,complete,,Ai2-authored/generated DOLCI contribution under ODC-By for research and education,DOLCI main dataset card,136833 rows.
generated:dolci:python-algorithms,generated_contribution,DOLCI Python Algorithms prompts,,cleared,complete,,Ai2-authored/generated DOLCI contribution under ODC-By for research and education,DOLCI main dataset card,186345 rows.
generated:dolci:transformations,generated_contribution,DOLCI response upgrades and mixture construction,,cleared,complete,,Ai2-authored/generated DOLCI contribution under ODC-By for research and education,DOLCI main dataset card,Does not replace retained prompt rights.
generated:dolci:verifiable-reasoning,generated_contribution,DOLCI Verifiable Reasoning prompts,,cleared,complete,,Ai2-authored/generated DOLCI contribution under ODC-By for research and education,DOLCI main dataset card,310572 rows.
generated:dfm:transformations,generated_contribution,DFM transformation generation and audit layer,,cleared,complete,,Project-generated and accepted-only audited Gemma 4 transformation layer,export-upload/transformations-*/generation_config.json,Apache-2.0 output packages; retained seed expression follows source dependencies.
generated:euroblocks:eurollm-synthetic,generated_contribution,EuroBlocks EuroLLM-generated families,,cleared,complete,,Apache-2.0/project-generated,,
generated:euroblocks:hardcoded,generated_contribution,EuroBlocks hardcoded instructions,,cleared,complete,,Apache-2.0/project-authored,,
generated:euroblocks:llama-synthetic,generated_contribution,EuroBlocks Llama-generated families,,inherited,partial,,Generated output follows Llama 3.1 terms; seed rights follow required children,legal/reports/dfm9-longalign-euroblocks-boundary-audit.md,Not blanket-cleared for general or commercial reuse.
component:euroblocks:embedded-seeds,source_component,EuroBlocks source-retaining instruction-generation rows,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner for current scientific research under MAN-018,legal/registers/dfm9-euroblocks-embedded-seed-documents.csv,5169 rows reduce to 2607 unique documents; source redistribution and nonresearch use remain uncleared.
component:euroblocks:derived-seeds,source_component,EuroBlocks seed-derived generated rows,,cleared,partial,,Llama terms plus Article 3 / Danish section 11 c approved by project owner under MAN-018 for uncovered seed expression,legal/registers/dfm9-euroblocks-seed-risk.csv,134819 multilingual rows; preserve overlap-test strata.
component:longalign:books,source_component,LongAlign books and publisher material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,1203 grouped rows; restrictive notices remain evidence and test targets.
component:longalign:corporate,source_component,LongAlign corporate financial and ESG material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,805 grouped rows.
component:longalign:education,source_component,LongAlign course and textbook material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,82 grouped rows.
component:longalign:encyclopedia,source_component,LongAlign encyclopedia and reference material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,186 grouped rows.
component:longalign:government,source_component,LongAlign government legal and procurement material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 pending document-level direct-rights mapping,legal/reports/dfm9-longalign-copyright-marker-audit.md,1955 grouped rows; public accessibility is not automatic public-domain status.
component:longalign:manuals,source_component,LongAlign manuals and technical documentation,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,104 grouped rows.
component:longalign:news-web,source_component,LongAlign news blog and general web material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,846 grouped rows.
component:longalign:public-domain-candidates,source_component,LongAlign public-domain and library candidates,,cleared,partial,,Article 3 approved under MAN-017 pending document-level public-domain verification; direct public-domain basis where verified,legal/reports/dfm9-longalign-copyright-marker-audit.md,121 candidate rows.
component:longalign:scholarly,source_component,LongAlign scholarly and research material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,2168 grouped rows.
component:longalign:software-qa,source_component,LongAlign software code and technical Q&A material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 pending source-level licence and attribution mapping,legal/reports/dfm9-longalign-copyright-marker-audit.md,1479 grouped rows.
component:longalign:unknown,source_component,LongAlign unclassified or mixed material,,cleared,partial,,Article 3 / Danish section 11 c approved by project owner under MAN-017 for current scientific research,legal/reports/dfm9-longalign-copyright-marker-audit.md,939 rows remain a test and provenance-recovery cohort.
component:mot:code,source_component,Mixture-of-Thoughts competitive code prompts and editorials,,cleared,partial,,Immediate package terms plus project-owner residual-risk acceptance; no Article 3 reliance identified,legal/reports/dfm9-mot-copyright-risk.md,Editorial-conditioned prompts remain the highest-risk MoT layer and a memorisation-test target.
component:mot:math,source_component,Mixture-of-Thoughts mathematical prompts,,cleared,partial,,Apache-2.0 package terms plus project-owner residual-risk acceptance; no Article 3 reliance identified,legal/reports/dfm9-mot-copyright-risk.md,93733 prompts stratified into seven NuminaMath source labels.
component:mot:science,source_component,Mixture-of-Thoughts science prompts,,cleared,partial,,NVIDIA per-sample terms plus project-owner residual-risk acceptance; no Article 3 reliance identified,legal/reports/dfm9-mot-copyright-risk.md,172514 selected science prompts.
component:smoltalk:apigen,source_component,SmolTalk APIGen function calling,,cleared,complete,,CC-BY-4.0 synthetic API records,legal/registers/dfm9-smoltalk-component-audit.csv,83144 train rows.
component:smoltalk:constraints,source_component,SmolTalk constraints,,cleared,complete,,Apache-2.0 project-generated records,legal/registers/dfm9-smoltalk-component-audit.csv,34424 train rows.
component:smoltalk:everyday,source_component,SmolTalk everyday conversations,,cleared,complete,,Apache-2.0 synthetic conversations,legal/registers/dfm9-smoltalk-component-audit.csv,2260 train rows.
component:smoltalk:explore-rewrite,source_component,SmolTalk Explore instruction rewriting,,cleared,complete,,CC-BY-NC-4.0 for current academic non-commercial use,legal/registers/dfm9-smoltalk-component-audit.csv,30400 train rows.
component:smoltalk:magpie,source_component,SmolTalk Magpie Ultra,,cleared,complete,,Llama 3.1 generation plus Apache-2.0 dataset terms,legal/registers/dfm9-smoltalk-component-audit.csv,409537 train rows.
component:smoltalk:metamath,source_component,SmolTalk MetaMath,,cleared,complete,,MIT package terms with source notice preservation,legal/registers/dfm9-smoltalk-component-audit.csv,47500 train rows.
component:smoltalk:numina,source_component,SmolTalk NuminaMath CoT,,cleared,complete,,Apache-2.0 package terms with source notice preservation,legal/registers/dfm9-smoltalk-component-audit.csv,106147 train rows.
component:smoltalk:rewrite,source_component,SmolTalk rewrite,,cleared,complete,,Apache-2.0 project-generated records,legal/registers/dfm9-smoltalk-component-audit.csv,53342 train rows.
component:smoltalk:self-oss,source_component,SmolTalk self OSS instruct,,cleared,complete,,ODC-By code instruction records,legal/registers/dfm9-smoltalk-component-audit.csv,48127 train rows.
component:smoltalk:summarize,source_component,SmolTalk summarize,,cleared,complete,,Apache-2.0 project-generated records,legal/registers/dfm9-smoltalk-component-audit.csv,96356 train rows.
component:smoltalk:systemchats,source_component,SmolTalk SystemChat 2.0,,cleared,complete,,Apache-2.0 synthetic system-prompt conversations,legal/registers/dfm9-smoltalk-component-audit.csv,34133 train rows.
component:openhermes:airoboros,source_component,OpenHermes Airoboros 2.2,,cleared,partial,,Custom generated-data terms plus Article 4 / Danish section 11 b for uncovered retained source expression,legal/registers/dfm9-openhermes-component-audit.csv,35380 rows; Article 3 is not relied on.
component:openhermes:camelai,source_component,OpenHermes CamelAI domain experts,,cleared,complete,,CC-BY-NC-4.0 for current academic non-commercial use,legal/registers/dfm9-openhermes-component-audit.csv,78390 rows.
component:openhermes:caseus,source_component,OpenHermes Caseus custom,,cleared,partial,,Project-owner Article 4 / Danish section 11 b determination for unidentified custom source expression,legal/registers/dfm9-openhermes-component-audit.csv,2688 rows; Article 3 is not relied on.
component:openhermes:chatbot-arena,source_component,OpenHermes LMSYS Chatbot Arena,,cleared,complete,,CC-BY-4.0 prompts and CC-BY-NC-4.0 outputs plus collection consent for current non-commercial research,legal/registers/dfm9-openhermes-component-audit.csv,3136 rows.
component:openhermes:cogstack,source_component,OpenHermes CogStack medical tasks,,cleared,complete,,Apache-2.0 OpenGPT contribution,legal/registers/dfm9-openhermes-component-audit.csv,4443 rows.
component:openhermes:collective,source_component,OpenHermes Collective Cognition,,cleared,complete,,MIT and express user-contribution training purpose,legal/registers/dfm9-openhermes-component-audit.csv,2719 rows.
component:openhermes:cot-alpaca,source_component,OpenHermes CoT Alpaca GPT-4,,cleared,partial,,Project-owner Article 4 / Danish section 11 b determination because the curator reports that the source page was lost,legal/registers/dfm9-openhermes-component-audit.csv,42026 rows; Article 3 is not relied on.
component:openhermes:econ,source_component,OpenHermes economics domain expert,,cleared,complete,,MIT,legal/registers/dfm9-openhermes-component-audit.csv,660 rows.
component:openhermes:evol70,source_component,OpenHermes EvolInstruct 70K,,cleared,complete,,MIT,legal/registers/dfm9-openhermes-component-audit.csv,51948 rows.
component:openhermes:evol-v2,source_component,OpenHermes WizardLM EvolInstruct V2,,cleared,complete,,MIT,legal/registers/dfm9-openhermes-component-audit.csv,51093 rows.
component:openhermes:glaive,source_component,OpenHermes Glaive code assistant,,cleared,complete,,Apache-2.0,legal/registers/dfm9-openhermes-component-audit.csv,182240 rows.
component:openhermes:gpt4-comparison,source_component,OpenHermes GPT-4 comparison data,,cleared,complete,,CC-BY-NC-4.0 research-only for current academic non-commercial use,legal/registers/dfm9-openhermes-component-audit.csv,14928 rows.
component:openhermes:gpteacher,source_component,OpenHermes GPTeacher,,cleared,complete,,MIT,legal/registers/dfm9-openhermes-component-audit.csv,28811 rows.
component:openhermes:lmsys1m,source_component,OpenHermes LMSYS-Chat-1M,,cleared,partial,,Express research-use and collection-consent basis subject to per-model output terms and privacy controls,legal/registers/dfm9-openhermes-component-audit.csv,1631 rows.
component:openhermes:metamath,source_component,OpenHermes MetaMath,,cleared,complete,,MIT package terms with source notice preservation,legal/registers/dfm9-openhermes-component-audit.csv,56448 rows.
component:openhermes:platypus,source_component,OpenHermes Open-Platypus,,cleared,partial,,Component terms plus Article 4 / Danish section 11 b for residual unlicensed or Airoboros-derived prompt expression,legal/registers/dfm9-openhermes-component-audit.csv,22280 rows; Article 3 is not relied on.
component:openhermes:slimorca,source_component,OpenHermes SlimOrca,,cleared,partial,,MIT layer plus recorded Article 4 / Danish section 11 b decision for uncovered FLAN expression,legal/registers/dfm9-openhermes-component-audit.csv,414062 rows; Article 3 is not relied on.
component:openhermes:teknium-custom,source_component,OpenHermes Teknium custom,,cleared,complete,,Project-author contribution,legal/registers/dfm9-openhermes-component-audit.csv,58 rows.
component:openhermes:unnatural,source_component,OpenHermes Unnatural Instructions GPT-4,,cleared,complete,,CC-BY-NC-4.0 research-only for current academic non-commercial use,legal/registers/dfm9-openhermes-component-audit.csv,8610 rows.
generated:oliverkinch:transformations,work_or_contribution,Oliver Kinch transformations,,cleared,complete,,Authorized DFM contribution,,
generated:smoltalk2:multi-turn-if,generated_contribution,SmolTalk2 multi-turn instruction following,,cleared,complete,,SmolTalk2 card declares new datasets Apache-2.0,,
generated:smoltalk2:qwen-regenerated,generated_contribution,SmolTalk2 Qwen-regenerated response variants,,cleared,complete,,SmolTalk2 card declares new datasets Apache-2.0,,
generated:smoltalk2:smolagents-toolcalling,generated_contribution,SmolAgents tool-calling traces,,cleared,complete,,SmolTalk2 card declares new datasets Apache-2.0,,
generated:synquid:agentic-code-curation,generated_contribution,Synquid agentic-code filtering/conversion,,cleared,complete,,Authorized DFM contribution,,
generated:synquid:transformations,work_or_contribution,Synquid transformations and generated responses,,cleared,complete,,Authorized DFM contribution,,
hf:AI-MO/NuminaMath-TIR,dataset,AI-MO/NuminaMath-TIR,https://huggingface.co/datasets/AI-MO/NuminaMath-TIR,cleared,complete,,Apache-2.0,,
hf:CohereForAI/aya_dataset,dataset,CohereForAI/aya_dataset,https://huggingface.co/datasets/CohereForAI/aya_dataset,cleared,complete,,Apache-2.0,,
hf:DBC,effective_dataset,DBC,,cleared,complete,356114318.8,direct DFM/data-owner agreement permitting model training and model release,docs/dfm8-datasets.md,On 2026-08-17 the project owner confirmed that the DBC and Lex.dk agreements permit training and model release.
hf:GEM/wiki_cat_sum,effective_dataset,GEM/wiki_cat_sum,https://huggingface.co/datasets/GEM/wiki_cat_sum,cleared,complete,205217374.0,"direct licence, subject to attribution/share-alike/notice and source-scope verification",data/downloads/datasets/wiki_cat_sum/.cache/huggingface/download/README.md.metadata,Repository declares an open/public licence; embedded third-party content still needs scope verification.
hf:HuggingFaceH4/no_robots,effective_dataset,HuggingFaceH4/no_robots,https://huggingface.co/datasets/HuggingFaceH4/no_robots,cleared,complete,31428240.0,CC-BY-NC-4.0; academic/non-commercial use only,data/downloads/datasets/no_robots/.cache/huggingface/download/README.md.metadata,The declared licence contains a NonCommercial restriction.
hf:HuggingFaceTB/smoltalk,dataset,HuggingFaceTB/smoltalk,https://huggingface.co/datasets/HuggingFaceTB/smoltalk,inherited,complete,,Aggregate layer follows thirteen required subset components,legal/reports/dfm9-smoltalk-component-audit.md,OpenHermes uses Article 4; only LongAlign retains an Article 3 dependency.
hf:HuggingFaceTB/smoltalk2,dataset,HuggingFaceTB/smoltalk2,https://huggingface.co/datasets/HuggingFaceTB/smoltalk2,inherited,complete,,Aggregate/database terms do not replace component terms,,
hf:Lex.dk,effective_dataset,Lex.dk,,cleared,complete,313397450.0,direct DFM/data-owner agreement permitting model training and model release,docs/dfm8-datasets.md,On 2026-08-17 the project owner confirmed that the DBC and Lex.dk agreements permit training and model release.
hf:LipengCS/Table-GPT,dataset,LipengCS/Table-GPT,https://huggingface.co/datasets/LipengCS/Table-GPT,cleared,complete,,MIT,,
hf:Magpie-Align/Magpie-Llama-3.1-Pro-300K-Filtered,dataset,Magpie-Align/Magpie-Llama-3.1-Pro-300K-Filtered,https://huggingface.co/datasets/Magpie-Align/Magpie-Llama-3.1-Pro-300K-Filtered,cleared,complete,,Meta Llama 3.1 Community License for a from-scratch Magpie synthetic instruction/response release,legal/reports/dfm9-apertus-component-audit.md,Preserve the applicable Llama notice and acceptable-use obligations.
hf:Magpie-Align/Magpie-Llama-3.1-Pro-DPO-100K-v0.1,dataset,Magpie-Align/Magpie-Llama-3.1-Pro-DPO-100K-v0.1,https://huggingface.co/datasets/Magpie-Align/Magpie-Llama-3.1-Pro-DPO-100K-v0.1,cleared,complete,,Meta Llama 3.1 Community License for Magpie-generated prompts and preference responses,legal/reports/dfm9-apertus-component-audit.md,Preserve the applicable Llama notice and acceptable-use obligations.
hf:Magpie-Align/Magpie-Qwen-Air-300K-Filtered,dataset,Magpie-Align/Magpie-Qwen-Air-300K-Filtered,https://huggingface.co/datasets/Magpie-Align/Magpie-Qwen-Air-300K-Filtered,cleared,complete,,Apache-2.0 model/source claim,,
hf:Magpie-Align/Magpie-Reasoning-V1-150K,dataset,Magpie-Align/Magpie-Reasoning-V1-150K,https://huggingface.co/datasets/Magpie-Align/Magpie-Reasoning-V1-150K,cleared,complete,,Meta Llama 3 and Qwen 2 model terms plus CC-BY-NC-4.0 dataset terms for synthetic prompts and responses,legal/reports/dfm9-apertus-component-audit.md,Compatible with the current academic non-commercial scope; preserve notices and restrictions.
hf:MegaScience/TextbookReasoning,effective_dataset,MegaScience/TextbookReasoning,https://huggingface.co/datasets/MegaScience/TextbookReasoning,cleared,complete,374316487.0,"direct licence for academic/non-commercial use, subject to attribution/share-alike terms",data/downloads/datasets/textbook_reasoning/.cache/huggingface/download/README.md.metadata,The declared licence contains a NonCommercial restriction.
hf:NousResearch/hermes-function-calling-v1,dataset,NousResearch/hermes-function-calling-v1,https://huggingface.co/datasets/NousResearch/hermes-function-calling-v1,cleared,complete,,Apache-2.0 synthetic function-calling release,legal/reports/dfm9-apertus-component-audit.md,Preserve licence and attribution notices.
hf:OpenAssistant/oasst1,dataset,OpenAssistant/oasst1,https://huggingface.co/datasets/OpenAssistant/oasst1,cleared,complete,,Apache-2.0,,
hf:Salesforce/xlam-function-calling-60k,effective_dataset,Salesforce/xlam-function-calling-60k,https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k,cleared,complete,66967968.0,CC-BY-4.0 synthetic dataset subject to attribution and gated-access terms,Salesforce dataset card and HF discussion 6,"APIGen produced and verified 60000 rows from 3673 executable APIs; Salesforce states DeepSeek confirmed output redistribution under CC-BY-4.0, and Mixtral is Apache-2.0. Preserve API/source notices where supplied."
hf:THUDM/LongAlign-10k,dataset,THUDM/LongAlign-10k,https://huggingface.co/datasets/THUDM/LongAlign-10k,inherited,partial,,Source rights follow eleven content-group children,legal/reports/dfm9-longalign-euroblocks-boundary-audit.md,No dataset licence was found; heuristic groups enable stratified review but not automatic clearance.
hf:Team-ACE/ToolACE,effective_dataset,Team-ACE/ToolACE,https://huggingface.co/datasets/Team-ACE/ToolACE,cleared,complete,25227906.0,"direct licence, subject to attribution/share-alike/notice and source-scope verification",data/downloads/datasets/toolace/.cache/huggingface/download/README.md.metadata,Repository declares an open/public licence; embedded third-party content still needs scope verification.
hf:ai2-adapt-dev/flan_v2_converted,dataset,ai2-adapt-dev/flan_v2_converted,https://huggingface.co/datasets/ai2-adapt-dev/flan_v2_converted,cleared,partial,,"Converted FLAN/OpenOrca artifact; direct terms where known and Article 4 / Danish section 11 b for uncovered upstream expression by project-owner determination",legal/reports/dfm9-tulu3-mixture-audit.md; project-owner decision 2026-08-17,"Task-level provenance and acquisition-time reservation evidence remain partial; Article 3 is not relied on."
hf:allenai/Dolci-Instruct-SFT,effective_dataset,allenai/Dolci-Instruct-SFT,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT,inherited,complete,2236249049.0,ODC-By mixture layer plus source-specific rights for 22 documented components,data/downloads/datasets/dolci_instruct_sft/README.md,Exact source labels and row counts reconciled to all 2152112 rows.
hf:allenai/Dolci-Instruct-SFT-No-Tools,effective_dataset,allenai/Dolci-Instruct-SFT-No-Tools,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-No-Tools,inherited,complete,3486502506.0,ODC-By mixture layer plus source-specific rights for the 21 non-tool components,data/downloads/datasets/dolci_instruct_sft_no_tools/README.md,Exactly the full SFT source composition minus all 227579 tool-use rows.
hf:allenai/Dolci-Instruct-SFT-Tool-Use,effective_dataset,allenai/Dolci-Instruct-SFT-Tool-Use,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use,inherited,complete,1614812888.0,ODC-By mixture layer plus source-specific rights for five ToolU components,data/downloads/datasets/dolci_instruct_sft_tool_use/README.md,All 227579 rows reconciled to five exact dataset_source labels.
hf:allenai/Dolci-Instruct-SFT-Tool-Use-SA,effective_dataset,allenai/Dolci-Instruct-SFT-Tool-Use-SA,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use-SA,cleared,complete,5814828.0,"direct licence, subject to attribution/share-alike/notice and source-scope verification",data/downloads/datasets/dolci_instruct_sft_tool_use_sa/.cache/huggingface/download/README.md.metadata,Repository declares an open/public licence; embedded third-party content still needs scope verification.
hf:allenai/IF_sft_data_verified,effective_dataset,allenai/IF_sft_data_verified,https://huggingface.co/datasets/allenai/IF_sft_data_verified,inherited,complete,19940266.0,Ai2 constraint and regenerated-response layer plus the fully audited Tulu 3 component bases,legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md,All 31751 local IDs exactly match Tulu 3 rows across all 19 audited source labels; no new Article 3 reliance.
hf:allenai/RLVR-GSM,effective_dataset,allenai/RLVR-GSM,https://huggingface.co/datasets/allenai/RLVR-GSM,cleared,complete,6824850.0,"direct licence, subject to attribution/share-alike/notice and source-scope verification",data/downloads/datasets/allenai_rlvr_gsm/.cache/huggingface/download/README.md.metadata,Repository declares an open/public licence; embedded third-party content still needs scope verification.
hf:allenai/RLVR-MATH,effective_dataset,allenai/RLVR-MATH,https://huggingface.co/datasets/allenai/RLVR-MATH,cleared,top_level_only,8067070.0,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",data/downloads/datasets/allenai_rlvr_math/.cache/huggingface/download/README.md.metadata,"All 7,500 rows identify MATH as their dataset; the official Hendrycks MATH repository is MIT licensed. Preserve the source notice and citation."
hf:allenai/SciRIFF,dataset,allenai/SciRIFF,https://huggingface.co/datasets/allenai/SciRIFF,cleared,partial,,"ODC-By task layer; direct source terms where known and Article 4 / Danish section 11 b for uncovered scholarly expression by project-owner determination",legal/reports/dfm9-tulu3-mixture-audit.md; project-owner decision 2026-08-17,"Scientific-document lineage and acquisition-time reservation evidence remain partial; Article 3 is not relied on."
hf:allenai/SciRIFF-train-mix,effective_dataset,allenai/SciRIFF-train-mix,https://huggingface.co/datasets/allenai/SciRIFF-train-mix,inherited,complete,132295148.0,ODC-By container; 35000 SciRIFF rows plus 35714 sampled Tulu v2 rows; MAN-022 covers inherited ShareGPT expression for current research,legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md,Cleared for the current research purpose; privacy and nonresearch scope remain separate.
hf:allenai/WildChat-1M,dataset,allenai/WildChat-1M,https://huggingface.co/datasets/allenai/WildChat-1M,cleared,complete,,"ODC-By database terms plus affirmative user consent for research/product-development use and third-party publication/sharing, accepted by the project owner for current research model training",WildChat ICLR 2024 paper consent appendix; project-owner decision 2026-08-17,Privacy safeguards remain independent.
