source_id,dfm8_prefix,processing_form,source_rows,accepted_or_tokenized_rows,sampled_tokens_per_epoch,generator_or_method,audit_method,prompt_or_recipe_evidence,status
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes,sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes,generated + audited,2404,2404,1739367,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0,sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0,generated + audited,20094,20094,10159455,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate,sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate,generated + audited,1217,1217,745866,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes,sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes,generated + audited,4649,4649,4313282,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0,sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0,generated + audited,13031,13031,1909893,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate,sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate,generated + audited,1302,1302,222807,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes,sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes,generated + audited,2895,2895,616034,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0,sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0,generated + audited,11820,11820,1729747,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate,sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate,generated + audited,1307,1307,222628,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes,sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes,generated + audited,2919,2919,622031,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification,sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification,generated + audited,9614,9614,1948021,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification,sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification,generated + audited,4137,4137,720660,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation,generated + audited,3535,3535,703194,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation,generated + audited,5212,5212,1060440,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation,generated + audited,1616,1616,598761,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation,generated + audited,5084,5084,1168532,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation,generated + audited,3116,3116,974302,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation,sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation,generated + audited,3491,3491,679180,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject,sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject,generated + audited,252,252,139871,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification,sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification,generated + audited,1341,1341,395317,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective,sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective,generated + audited,676,676,235696,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation,sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation,generated + audited,11860,11860,2814833,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification,sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification,generated + audited,10857,10857,2539909,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation,sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation,generated + audited,11879,11879,2177827,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification,sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification,generated + audited,2546,2546,816301,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation,sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation,generated + audited,3186,3186,816257,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization,sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization,generated + audited,259,259,198111,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation,sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation,generated + audited,1226,1226,598966,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation,sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation,generated + audited,158,158,71057,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification,sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification,generated + audited,2935,2935,877555,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification,sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification,generated + audited,1703,1703,534985,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names,sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names,generated + audited,459,459,235077,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships,sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships,generated + audited,101,101,46025,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships,sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships,generated + audited,163,163,68410,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers,sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers,generated + audited,753,753,295703,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification,sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification,generated + audited,6249,6249,795481,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification,sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification,generated + audited,20,20,1929,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation,generated + audited,1577,1577,170549,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation,generated + audited,2243,2243,267691,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation,generated + audited,716,716,173515,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation,generated + audited,2180,2180,265049,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation,generated + audited,1369,1369,273620,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation,sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation,generated + audited,1531,1531,181717,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject,sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject,generated + audited,141,141,49270,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification,sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification,generated + audited,710,710,154418,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective,sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective,generated + audited,302,302,71856,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation,sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation,generated + audited,5311,5311,705459,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification,sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification,generated + audited,5723,5723,811411,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation,sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation,generated + audited,4896,4896,532494,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
