phase_id,dataset_recipe,source_prefix,sampled_rows_consumed,instruction_tokens_consumed,response_tokens_consumed,source_tokens_consumed,task_count,tokenized_roots
PHASE-001,dfm6,allenai_verifiable_reasoning_o4mini,516000,120109780,120548448,240658228,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,ampsmathematica,3631500,266396544,928419089,1194815633,137,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,common-pile-denoising,2291085,1343778462,1307075652,2650854114,7,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,common-pile-paragraph-reordering,776952,264317283,235798074,500115357,16,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,common-pile-prefix-continuation,5579199,1794748473,1666242261,3460990734,19,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,common-pile-span-filling,2283435,1213278309,1254209688,2467487997,7,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,danish-dynaword-denoising,786216,492742104,476938260,969680364,4,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,danish-dynaword-paragraph-reordering,664080,257399616,224019924,481419540,3,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,danish-dynaword-prefix-continuation,1263804,387961872,367456812,755418684,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,danish-dynaword-span-filling,659616,374025936,378549552,752575488,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dbc,7014660,441150586,627288073,1068438659,24,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dfm4_arxiv_paper_summarization,640062,233405409,155352987,388758396,8,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dfm4_govreport_summarization,24912,5421972,7814934,13236906,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dfm4_laion_scientific_summaries,6866421,1989390114,1824211794,3813601908,4006,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dfm4_wiki_cat_sum_summarization,923466,492213216,123438906,615652122,3,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dmmath,151200000,6768654438,1058631020,7827285458,168,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dolci_instruct_sft,9080778,4317688590,2391058557,6708747147,15,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dolci_instruct_sft_no_tools,17301132,3901666779,6557840739,10459507518,10,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dolci_instruct_sft_tool_use,6627468,6034265994,410223288,6444489282,6,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,dolci_instruct_sft_tool_use_sa,13587,16029846,430638,16460484,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,flan,40248939,14407628123,796001493,15203629616,3910,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,laerebogen_with_followups,61961616,17602397940,7359680844,24962078784,7,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,lexdk,1630665,77937900,862254450,940192350,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,nemotron_agentic,3891786,12123235731,684261981,12807497712,3,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,nemotron_instruction_reasoning_off,4207260,1724611092,3085212249,4809823341,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,nemotron_multilingual,1188000,328219222,910310749,1238529971,18,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,no_robots,354150,36765300,57519420,94284720,4,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_danish_university_portals_bt,135150,19935780,45361470,65297250,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_danmarks_statistik_bt,214620,9786750,46800690,56587440,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_doab_da_bt,3690,530700,1550940,2081640,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_dst_table_prompts_bt,91260,111408570,41846910,153255480,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_dynaword_bt,186600,13410996,89504010,102915006,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_eur_lex_bt,79710,8541510,41542140,50083650,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_eur_lex_sum_instruct,2070,6229950,1656420,7886370,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_instruct_bt,103890,5415510,34966200,40381710,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_machine_translation_da_ar,6000000,254341758,164332544,418674302,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_machine_translation_da_en,9000000,494090394,359017283,853107677,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_machine_translation_da_uk,3000000,126754963,81753125,208508088,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_multi_wiki_qa_high_quality,137820,124395390,1339560,125734950,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,oliverkinch_tidsskrift_dk_bt,377604,62244930,167759982,230004912,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,openmathinstruct2,75069027,6398758554,13409944941,19808703495,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,openthoughts2,2676480,290362314,1313061600,1603423914,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,opus,90000000,5638928478,3071859967,8710788445,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-dialog-fsopt-data-qrecc,62244,37743210,1575096,39318306,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-dialog-fsopt-data-qrecc-ii,17037,6913998,1823517,8737515,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-dialog-zsopt-data-qrecc,31989,4383810,801087,5184897,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-dialog-zsopt-data-qrecc-ii,9270,400962,1137999,1538961,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,33660,13727736,640086,14367822,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,2493,1409739,171333,1581072,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes,7212,4676619,541482,5218101,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0,60282,29662587,815778,30478365,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate,3651,2069262,168336,2237598,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes,13947,12203454,736392,12939846,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0,39093,4489545,1240134,5729679,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate,3906,441486,226935,668421,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes,8685,1300545,547557,1848102,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0,35460,3950778,1238463,5189241,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate,3921,442548,225336,667884,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes,8757,1311390,554703,1866093,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification,28842,5751591,92472,5844063,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification,12411,2120841,41139,2161980,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation,10605,1724025,385557,2109582,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation,15636,2659329,521991,3181320,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation,4848,1345620,450663,1796283,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation,15252,2983347,522249,3505596,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation,9348,2143419,779487,2922906,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation,10473,1645593,391947,2037540,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject,756,417186,2427,419613,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification,4023,1173186,12765,1185951,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective,2028,699912,7176,707088,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation,35580,8183664,260835,8444499,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification,32571,7513488,106239,7619727,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation,35637,6031248,502233,6533481,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification,7638,2424141,24762,2448903,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation,9558,2418111,30660,2448771,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization,777,542850,51483,594333,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation,3678,1707483,89415,1796898,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation,474,208263,4908,213171,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification,8805,2604108,28557,2632665,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification,5109,1589118,15837,1604955,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names,1377,699870,5361,705231,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships,303,136722,1353,138075,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships,489,203661,1569,205230,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers,2259,879711,7398,887109,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification,18747,2330202,56241,2386443,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification,60,5607,180,5787,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation,4731,343791,167856,511647,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation,6729,559407,243666,803073,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation,2148,306885,213660,520545,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation,6540,560130,235017,795147,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1376-newscomm-translation,4107,460485,360375,820860,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task1377-newscomm-translation,4593,371052,174099,545151,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task264-paper-reviews-accept-reject,423,146541,1269,147810,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task265-paper-reviews-language-identification,2130,456864,6390,463254,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task266-paper-reviews-reviewer-perspective,906,212487,3081,215568,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task589-amazonfood-summary-text-generation,15933,2001612,114765,2116377,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task590-amazonfood-summary-correction-classification,17169,2382726,51507,2434233,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task618-amazonreview-summary-text-generation,14688,1347855,249627,1597482,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task634-allegro-reviews-classification,3705,633222,11118,644340,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task635-allegro-reviews-answer-generation,6360,940305,19080,959385,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task672-amazon-yelp-summarization,477,224769,31068,255837,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task870-msmarco-answer-generation,1743,594594,41469,636063,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task871-msmarco-question-generation,267,103983,2838,106821,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task902-deceptive-opinion-spam-classification,3702,583851,11106,594957,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task903-deceptive-opinion-spam-classification,2595,439581,7785,447366,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task906-dialogre-identify-names,663,170097,2436,172533,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task907-dialogre-identify-relationships,150,39615,606,40221,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task908-dialogre-identify-familial-relationships,216,51333,648,51981,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-flan-niv2-zsopt-data-task909-dialogre-prevalent-speakers,1092,242766,3276,246042,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-platypus-reclor,15393,2719770,46179,2765949,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-platypus-scibench,2232,204609,106356,310965,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-tasksource-pragmeval-sarcasm,11259,1576752,50490,1627242,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sapient-synth-tasksource-reclor,13899,2660004,41700,2701704,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,sudoku_extreme,3000000,285000000,249000000,534000000,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_danish_verifiable_reasoning,16800,6525288,47868792,54394080,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_ifbench_train,70680,17807130,20260260,38067390,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_mt_da_deepseek,9048,19051377,7605825,26657202,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_translation_100k,299829,156174954,138528882,294703836,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_wiki_instruct_da,4071834,321424416,2642934114,2964358530,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,synquid_wildchat_100k_qwen_messages,150000,57762660,163128626,220891286,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,tasksource,3270390,403285403,42628377,445913780,161,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,textbookreasoning,3535347,278457870,844491591,1122949461,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,transformations-danish-danish,1873053,1123131393,365445918,1488577311,250,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,transformations-danish-english,1902609,1112332959,294342453,1406675412,250,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,transformations-english-danish,2216592,735671925,517606668,1253278593,409,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,transformations-english-english,2981688,933946560,479350200,1413296760,388,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,Platypus,554940,113644840,15232760,128877600,8,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,SYNTH,20000000,1671698986,5237200526,6908899512,500,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,acereason,5337482,487584450,3402505336,3890089786,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,ai_arena_udtraek,85100,41051560,50329640,91381200,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,allenai_big_reasoning_traces,1353894,130339346,3183458552,3313797898,44,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_if_sft_verified,63494,13290078,26590454,39880532,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_open_math_2_50k_r1,99658,6726174,136907214,143633388,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_rlvr_gsm,14946,1240644,124326,1364970,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,allenai_rlvr_math,14996,1464710,148704,1613414,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,allenai_sciriff_train_mix,237034,216484138,48106158,264590296,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_3_personas_algebra,40000,8332504,33707248,42039752,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_3_personas_code,69998,18295740,10981818,29277558,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_3_personas_if,59960,4070570,18967582,23038152,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_3_personas_math,299920,89696900,317979926,407676826,2,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_3_sft_mixture,4203976,1394245900,1746878444,3141124344,6,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_v2_sft_long_mixture,1121692,967076416,243791444,1210867860,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_tulu_v2_sft_mixture,1505736,1318012934,361195474,1679208408,3,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_verifiable_reasoning_gpt41,569622,136253958,1073147766,1209401724,6,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,allenai_verifiable_reasoning_o4mini,344000,80123824,80322975,160446799,2,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,ampsmathematica,2421000,177596419,618959790,796556209,137,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,common-pile-denoising,1527390,895852308,871383768,1767236076,7,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,common-pile-paragraph-reordering,517968,176211522,157198716,333410238,16,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,common-pile-prefix-continuation,3719466,1196498982,1110828174,2307327156,19,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,common-pile-span-filling,1522290,808852206,836139792,1644991998,7,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,danish-dynaword-denoising,524144,328494736,317958840,646453576,4,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,danish-dynaword-paragraph-reordering,442720,171599744,149346616,320946360,3,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,danish-dynaword-prefix-continuation,842536,258641248,244971208,503612456,2,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,danish-dynaword-span-filling,439744,249350624,252366368,501716992,2,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dbc,4676440,294029491,418375490,712404981,24,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dfm4_arxiv_paper_summarization,426708,155603606,103568658,259172264,8,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dfm4_govreport_summarization,16608,3614648,5209956,8824604,2,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dfm4_laion_scientific_summaries,4577614,1326260076,1216141196,2542401272,4006,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dfm4_wiki_cat_sum_summarization,615644,328142144,82292604,410434748,3,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dfm_dyna_instruct,11005882,2948942656,4138800668,7087743324,106,data/tokenized_dfm7_jinja
PHASE-002,dfm7,dmmath,100800000,4512433606,705742681,5218176287,168,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dolci_instruct_sft,6053852,2878459060,1594039038,4472498098,15,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dolci_instruct_sft_no_tools,11534088,2601111186,4371893826,6973005012,10,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,dolci_native_tool_use,4323424,2961160436,280094996,3241255432,7,data/tokenized_dfm7_jinja
PHASE-002,dfm7,flan,26832626,9605368561,531294295,10136662856,3910,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,glaive_native_tool_use,1309620,270508542,40536882,311045424,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,kaenguruen,8480,1225800,49760,1275560,2,data/tokenized_dfm7_jinja
PHASE-002,dfm7,laerebogen_with_followups,41307744,11734931960,4906453896,16641385856,7,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,lexdk,1087110,51958600,574836300,626794900,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,nemotron_agentic,2594524,8082157154,456174654,8538331808,3,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,nemotron_instruction_reasoning_off,2804840,1149740728,2056808166,3206548894,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,nemotron_multilingual,792000,218736409,607185112,825921521,18,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,no_robots,236100,24510200,38346280,62856480,4,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_autodata_da_sft,59260,24754760,12977600,37732360,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_da_instruct_dynaword,318776,24685008,180998200,205683208,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_da_instruct_dynaword_contemporary,66168,4769904,30340600,35110504,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_da_instruct_dynaword_contemporary_hq,90424,6812104,44292920,51105024,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_da_instruct_dynaword_hq,85280,6439720,41688440,48128160,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_danish_qa,2451552,87946864,26978208,114925072,1,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_danish_summarization,511064,237299056,99418920,336717976,2,data/tokenized_dfm7_jinja
PHASE-002,dfm7,oliverkinch_danish_university_portals_bt,90100,13290520,30240980,43531500,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_danmarks_statistik_bt,143080,6524500,31200460,37724960,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_doab_da_bt,2460,353800,1033960,1387760,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_dst_table_prompts_bt,60840,74272380,27897940,102170320,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_dynaword_bt,124400,8940664,59669340,68610004,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_eur_lex_bt,53140,5694340,27694760,33389100,1,data/tokenized_dfm6_direct_jinja
PHASE-002,dfm7,oliverkinch_eur_lex_sum_instruct,1380,4153300,1104280,5257580,1,data/tokenized_dfm6_direct_jinja
