source_id,source_url,source_type,dfm8_prefix,processing_form,source_rows,source_tokens,sampled_rows_per_epoch,sampled_tokens_per_epoch,dfm8_share,provisional_basis,licence_or_agreement,article4_reservation_review,personal_data_review,privacy_triage,approval_status,evidence,notes
danish-foundation-models/dfm-dyna-instruct,https://huggingface.co/datasets/danish-foundation-models/dfm-dyna-instruct,public_dataset,dfm_dyna_instruct,converted,5502941,3543871662,5502941,3543871662,5.02824%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
danish-foundation-models/kaenguruen,https://huggingface.co/datasets/danish-foundation-models/kaenguruen,public_dataset,kaenguruen,converted,212,31889,4240,637780,0.00090%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
danish-foundation-models/laerebogen,https://huggingface.co/datasets/danish-foundation-models/laerebogen,public_dataset,laerebogen_with_followups,converted,5163468,2080173232,20653872,8320692928,11.80587%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
GEM/wiki_cat_sum,https://huggingface.co/datasets/GEM/wiki_cat_sum,public_dataset,dfm4_wiki_cat_sum_summarization,converted,153911,102608687,307822,205217374,0.29117%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
giannor/dala_tv2r_it,https://huggingface.co/datasets/giannor/dala_tv2r_it,public_dataset,giannor_dala_tv2r_it,converted,984126,68526212,984126,68526212,0.09723%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
giannor/gec_dala_tv2r_it,https://huggingface.co/datasets/giannor/gec_dala_tv2r_it,public_dataset,giannor_gec_dala_tv2r_it,converted,930565,192947845,930565,192947845,0.27377%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
glaiveai/glaive-function-calling-v2,https://huggingface.co/datasets/glaiveai/glaive-function-calling-v2,public_dataset,glaive_native_tool_use,native-tool conversion,218270,51840904,654810,155522712,0.22066%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
HuggingFaceH4/no_robots,https://huggingface.co/datasets/HuggingFaceH4/no_robots,public_dataset,no_robots,converted,23610,6285648,118050,31428240,0.04459%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
kobprof/skolegpt-instruct,https://huggingface.co/datasets/kobprof/skolegpt-instruct,public_dataset,kobprof_skolegpt_instruct,converted,21548,10800037,172384,86400296,0.12259%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
laion/Scientific-Summaries,https://huggingface.co/datasets/laion/Scientific-Summaries,public_dataset,dfm4_laion_scientific_summaries,converted,2288807,1271200636,2288807,1271200636,1.80365%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
MegaScience/TextbookReasoning,https://huggingface.co/datasets/MegaScience/TextbookReasoning,public_dataset,textbookreasoning,converted,1178449,374316487,1178449,374316487,0.53110%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
nvidia/AceReason-1.1-SFT,https://huggingface.co/datasets/nvidia/AceReason-1.1-SFT,public_dataset,acereason,converted,2668741,1945044893,2668741,1945044893,2.75974%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
nvidia/Nemotron-SFT-Agentic-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Agentic-v2,public_dataset,nemotron_agentic,converted,1297262,4269165904,1297262,4269165904,6.05733%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,public_dataset,nemotron_instruction_reasoning_off,converted,1402420,1603274447,1402420,1603274447,2.27482%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
nvidia/Nemotron-SFT-Multilingual-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Multilingual-v1,public_dataset,nemotron_multilingual,converted,3045322,2714286008,396000,412760277,0.58565%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
nvidia/OpenMathInstruct-2,https://huggingface.co/datasets/nvidia/OpenMathInstruct-2,public_dataset,openmathinstruct2,converted,25023009,6602901165,25023009,6602901165,9.36857%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/autodata-da-sft,https://huggingface.co/datasets/oliverkinch/autodata-da-sft,public_dataset,oliverkinch_autodata_da_sft,converted,2963,1886618,29630,18866180,0.02677%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/da-instruct-dynaword,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword,public_dataset,oliverkinch_da_instruct_dynaword,converted,39847,25710401,159388,102841604,0.14592%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/da-instruct-dynaword-contemporary,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-contemporary,public_dataset,oliverkinch_da_instruct_dynaword_contemporary,converted,8271,4388813,33084,17555252,0.02491%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/da-instruct-dynaword-contemporary-hq,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-contemporary-hq,public_dataset,oliverkinch_da_instruct_dynaword_contemporary_hq,converted,11303,6388128,45212,25552512,0.03626%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/da-instruct-dynaword-hq,https://huggingface.co/datasets/oliverkinch/da-instruct-dynaword-hq,public_dataset,oliverkinch_da_instruct_dynaword_hq,converted,10660,6016020,42640,24064080,0.03414%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/danish-qa,https://huggingface.co/datasets/oliverkinch/danish-qa,public_dataset,oliverkinch_danish_qa,converted,306444,14365634,1225776,57462536,0.08153%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/danish-summarization,https://huggingface.co/datasets/oliverkinch/danish-summarization,public_dataset,oliverkinch_danish_summarization,converted,63883,42089747,255532,168358988,0.23888%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/danish-university-portals-bt,https://huggingface.co/datasets/oliverkinch/danish-university-portals-bt,public_dataset,oliverkinch_danish_university_portals_bt,converted,4505,2176575,45050,21765750,0.03088%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/danmarks-statistik-bt,https://huggingface.co/datasets/oliverkinch/danmarks-statistik-bt,public_dataset,oliverkinch_danmarks_statistik_bt,converted,7154,1886248,71540,18862480,0.02676%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/doab-da-bt,https://huggingface.co/datasets/oliverkinch/doab-da-bt,public_dataset,oliverkinch_doab_da_bt,converted,123,69388,1230,693880,0.00098%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/dst-table-prompts-bt,https://huggingface.co/datasets/oliverkinch/dst-table-prompts-bt,public_dataset,oliverkinch_dst_table_prompts_bt,converted,3042,5108516,30420,51085160,0.07248%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/dynaword-bt,https://huggingface.co/datasets/oliverkinch/dynaword-bt,public_dataset,oliverkinch_dynaword_bt,converted,31100,17152501,62200,34305002,0.04867%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/eur-lex-bt,https://huggingface.co/datasets/oliverkinch/eur-lex-bt,public_dataset,oliverkinch_eur_lex_bt,converted,2657,1669455,26570,16694550,0.02369%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/eur-lex-sum-instruct,https://huggingface.co/datasets/oliverkinch/eur-lex-sum-instruct,public_dataset,oliverkinch_eur_lex_sum_instruct,converted,69,262879,690,2628790,0.00373%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/instruct-bt,https://huggingface.co/datasets/oliverkinch/instruct-bt,public_dataset,oliverkinch_instruct_bt,converted,3463,1346057,34630,13460570,0.01910%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/machine-translation-da-ar,https://huggingface.co/datasets/oliverkinch/machine-translation-da-ar,public_dataset,oliverkinch_machine_translation_da_ar,converted,5589698,390040756,2000000,139562830,0.19802%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/machine-translation-da-en,https://huggingface.co/datasets/oliverkinch/machine-translation-da-en,public_dataset,oliverkinch_machine_translation_da_en,converted,26095982,2473704186,3000000,284366481,0.40348%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/machine-translation-da-uk,https://huggingface.co/datasets/oliverkinch/machine-translation-da-uk,public_dataset,oliverkinch_machine_translation_da_uk,converted,3452880,239956804,1000000,69487719,0.09859%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/multi-wiki-qa-high-quality-subset,https://huggingface.co/datasets/oliverkinch/multi-wiki-qa-high-quality-subset,public_dataset,oliverkinch_multi_wiki_qa_high_quality,converted,4594,4191165,45940,41911650,0.05947%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
oliverkinch/tidsskrift-dk-bt,https://huggingface.co/datasets/oliverkinch/tidsskrift-dk-bt,public_dataset,oliverkinch_tidsskrift_dk_bt,converted,62934,38334152,125868,76668304,0.10878%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
open-thoughts/OpenThoughts2-1M,https://huggingface.co/datasets/open-thoughts/OpenThoughts2-1M,public_dataset,openthoughts2,converted,892160,534474638,892160,534474638,0.75834%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
Salesforce/xlam-function-calling-60k,https://huggingface.co/datasets/Salesforce/xlam-function-calling-60k,public_dataset,xlam_native_tool_use,native-tool conversion,60000,22322656,180000,66967968,0.09502%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
sapientinc/HRM-Text-data-io-cleaned-20260515,https://huggingface.co/datasets/sapientinc/HRM-Text-data-io-cleaned-20260515,public_dataset,{Platypus|SYNTH|ampsmathematica|dmmath|flan|sudoku_extreme|tasksource},selected/converted,288857089,75842844658,77394413,11920658275,16.91370%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/common-pile-denoising,https://huggingface.co/datasets/schneiderkamplab/common-pile-denoising,public_dataset,common-pile-denoising,generated + audited,254565,294539346,763695,883618038,1.25373%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/common-pile-paragraph-reordering,https://huggingface.co/datasets/schneiderkamplab/common-pile-paragraph-reordering,public_dataset,common-pile-paragraph-reordering,generated + audited,86328,55568373,258984,166705119,0.23653%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/common-pile-prefix-continuation,https://huggingface.co/datasets/schneiderkamplab/common-pile-prefix-continuation,public_dataset,common-pile-prefix-continuation,generated + audited,619911,384554526,1859733,1153663578,1.63688%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/common-pile-span-filling,https://huggingface.co/datasets/schneiderkamplab/common-pile-span-filling,public_dataset,common-pile-span-filling,generated + audited,253715,274165333,761145,822495999,1.16700%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/danish-dynaword-denoising,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-denoising,public_dataset,danish-dynaword-denoising,generated + audited,65518,80806697,262072,323226788,0.45861%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/danish-dynaword-paragraph-reordering,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-paragraph-reordering,public_dataset,danish-dynaword-paragraph-reordering,generated + audited,55340,40118295,221360,160473180,0.22769%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/danish-dynaword-prefix-continuation,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-prefix-continuation,public_dataset,danish-dynaword-prefix-continuation,generated + audited,105317,62951557,421268,251806228,0.35728%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/danish-dynaword-span-filling,https://huggingface.co/datasets/schneiderkamplab/danish-dynaword-span-filling,public_dataset,danish-dynaword-span-filling,generated + audited,54968,62714624,219872,250858496,0.35593%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-openhermes-da,https://huggingface.co/datasets/schneiderkamplab/dfm8-openhermes-da,public_dataset,dfm8-openhermes-da,repaired/translated + audited,972744,461016646,1945488,922033292,1.30823%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-openhermes-en,https://huggingface.co/datasets/schneiderkamplab/dfm8-openhermes-en,public_dataset,dfm8-openhermes-en,repaired/translated + audited,922655,336065766,1845310,672131532,0.95366%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-code-debugging,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-code-debugging,public_dataset,dfm8-synthetic-code-debugging,generated + audited,341106,246646769,341106,246646769,0.34996%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-constrained-format-following,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-constrained-format-following,public_dataset,dfm8-synthetic-constrained-format-following,generated + audited,838097,171088193,838097,171088193,0.24275%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,public_dataset,dfm8-synthetic-danish-summarization-rewrite-controls,generated + audited,825710,395960288,825710,395960288,0.56181%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-multiturn-danish-english-chat,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-multiturn-danish-english-chat,public_dataset,dfm8-synthetic-multiturn-danish-english-chat,generated + audited,962230,366469258,962230,366469258,0.51997%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-native-tool-calling,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-native-tool-calling,public_dataset,dfm8-synthetic-native-tool-calling,generated + audited,1810418,513088304,1810418,513088304,0.72800%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/dfm8-synthetic-strict-math-answer-contract,https://huggingface.co/datasets/schneiderkamplab/dfm8-synthetic-strict-math-answer-contract,public_dataset,dfm8-synthetic-strict-math-answer-contract,generated + audited,552956,173411485,552956,173411485,0.24605%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/opus-da-en-permissive,https://huggingface.co/datasets/schneiderkamplab/opus-da-en-permissive,public_dataset,opus,converted,58522145,5663970955,30000000,2903506446,4.11966%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc,public_dataset,sapient-synth-flan-dialog-fsopt-data-qrecc,generated + audited,20748,13106102,20748,13106102,0.01860%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,high_priority_user_generated_or_conversational,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc-ii,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc-ii,public_dataset,sapient-synth-flan-dialog-fsopt-data-qrecc-ii,generated + audited,5679,2912505,5679,2912505,0.00413%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,high_priority_user_generated_or_conversational,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc,public_dataset,sapient-synth-flan-dialog-zsopt-data-qrecc,generated + audited,10663,1728299,10663,1728299,0.00245%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,high_priority_user_generated_or_conversational,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc-ii,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc-ii,public_dataset,sapient-synth-flan-dialog-zsopt-data-qrecc-ii,generated + audited,3090,512987,3090,512987,0.00073%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,high_priority_user_generated_or_conversational,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,public_dataset,sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,generated + audited,11220,4789274,11220,4789274,0.00680%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,https://huggingface.co/datasets/schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,public_dataset,sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,generated + audited,831,527024,831,527024,0.00075%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,source_retention_review_required,open,docs/dfm8-datasets.md,
