effective_source,local_source_label,rows,canonical_component,working_basis,status,notes
allenai/SciRIFF-train-mix,gpt4_alpaca,2282,source:Instruction-Tuning-with-GPT-4/GPT-4-LLM,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,hard_coded,15,generated:allenai:tulu-v2-hardcoded,Ai2-authored contribution under the ODC-By release,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,lima,128,hf:GAIR/lima,CC-BY-NC-SA for current academic/non-commercial use,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,oasst1,795,hf:OpenAssistant/oasst1,Apache-2.0,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,open_orca,3228,hf:Open-Orca/OpenOrca,MIT response/package layer plus MAN-013 Article 4 for uncovered FLAN expression,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,sharegpt,12382,hf:anon8231489123/ShareGPT_Vicuna_unfiltered,MAN-022 accepts deliberate public publication and public-API availability as permission for current academic/non-commercial research training; not a blanket Apache-2.0 licence,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows; privacy controls remain separate."
allenai/SciRIFF-train-mix,wizardlm,3289,hf:WizardLMTeam/WizardLM_evol_instruct_V2_196k,MIT,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/IF_sft_data_verified,ai2-adapt-dev/coconot_converted,423,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=5, llama405b=107, qwen72b=173, tulu70b=120, yi34b=18."
allenai/IF_sft_data_verified,ai2-adapt-dev/evol_codealpaca_heval_decontaminated,3444,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=44, llama405b=942, qwen72b=1359, tulu70b=1000, yi34b=99."
allenai/IF_sft_data_verified,ai2-adapt-dev/flan_v2_converted,3388,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=75, llama405b=998, qwen72b=1491, tulu70b=703, yi34b=121."
allenai/IF_sft_data_verified,ai2-adapt-dev/no_robots_converted,316,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=4, llama405b=89, qwen72b=120, tulu70b=91, yi34b=12."
allenai/IF_sft_data_verified,ai2-adapt-dev/numinamath_tir_math_decontaminated,2412,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=48, llama405b=634, qwen72b=1071, tulu70b=569, yi34b=90."
allenai/IF_sft_data_verified,ai2-adapt-dev/oasst1_converted,177,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=2, llama405b=46, qwen72b=58, tulu70b=63, yi34b=8."
allenai/IF_sft_data_verified,ai2-adapt-dev/personahub_code_v2_34999,1138,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=20, llama405b=322, qwen72b=519, tulu70b=262, yi34b=15."
allenai/IF_sft_data_verified,ai2-adapt-dev/personahub_ifdata_manual_seed_v3_29980,1009,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=17, llama405b=287, qwen72b=344, tulu70b=325, yi34b=36."
allenai/IF_sft_data_verified,ai2-adapt-dev/personahub_math_v5_regen_149960,4853,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=91, llama405b=1463, qwen72b=2419, tulu70b=693, yi34b=187."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_hard_coded_repeated_10,13,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama405b=4, qwen72b=7, tulu70b=2."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_aya_100k,3951,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=81, llama405b=963, qwen72b=1537, tulu70b=1178, yi34b=192."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_open_math_2_gsm8k_50k,2021,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=30, llama405b=605, qwen72b=762, tulu70b=575, yi34b=49."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_personahub_math_interm_algebra_20k,667,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=11, llama405b=205, qwen72b=333, tulu70b=94, yi34b=24."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_sciriff_10k,277,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=4, llama405b=74, qwen72b=137, tulu70b=48, yi34b=14."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,1843,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=25, llama405b=432, qwen72b=896, tulu70b=405, yi34b=85."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_table_gpt_5k,133,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=5, llama405b=47, qwen72b=59, tulu70b=17, yi34b=5."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_wildchat_100k,1899,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=32, llama405b=467, qwen72b=738, tulu70b=575, yi34b=87."
allenai/IF_sft_data_verified,ai2-adapt-dev/tulu_v3.9_wildjailbreak_decontaminated_50k,1892,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=38, llama405b=433, qwen72b=881, tulu70b=475, yi34b=65."
allenai/IF_sft_data_verified,allenai/tulu-3-sft-personas-math-grade,1895,hf:allenai/tulu-3-sft-mixture,Exact Tulu-3 row lineage plus Ai2-added constraint and regenerated-response layer,cleared,"Exact ID match; replacement-response generators: llama38b=22, llama405b=603, qwen72b=731, tulu70b=490, yi34b=49."
