source_id,average_tokens_per_epoch,dominant_basis_current_research_use,article3_reliance,article4_status,agreement_present,open_or_public_basis_present,declared_cc0,noncommercial_restriction,express_publisher_permission,participant_publication_permission,generator_terms_review,dependency_scope
allenai/tulu-3-sft-mixture,1570562172.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/tulu-3-sft-personas-algebra,21019876.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,yes,no,yes,no,no,no,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following."
allenai/tulu-3-sft-personas-code,14638779.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,yes,no,yes,no,no,no,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following."
allenai/tulu-3-sft-personas-instruction-following,11519076.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,yes,no,yes,no,no,no,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following."
allenai/tulu-3-sft-personas-math,203838413.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,yes,no,yes,no,no,no,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following."
allenai/tulu-v2-sft-long-mixture,605433930.0,participant_publication_permission,no,not_needed_within_direct_scope,no,no,no,no,no,yes,no,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent."
allenai/tulu-v2-sft-mixture,839604204.0,participant_publication_permission,no,not_needed_within_direct_scope,no,no,no,no,no,yes,no,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent."
allenai/verifiable-reasoning-filtered-gpt-41,604700862.0,article3_reliance_required,required,conditional_not_cleared,no,no,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/verifiable-reasoning-filtered-o4-mini,80198700.4,article3_reliance_required,required,conditional_not_cleared,no,no,no,no,no,no,no,Top-level dataset repository or agreement source.
ccdv/govreport-summarization,4412302.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
common-pile/arxiv_papers_filtered,129586132.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
danish-foundation-models/ai_arena_udtraek,45690600.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
danish-foundation-models/dfm-dyna-instruct,3543871662.0,article3_reliance_required,fallback,conditional_not_cleared,no,no,no,no,no,no,no,Mixture/derived repository; component-level rights control.
danish-foundation-models/kaenguruen,637780.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
danish-foundation-models/laerebogen,8320692928.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
DBC,356114318.8,agreement_backed_direct,no,not_needed_within_direct_scope,yes,no,no,no,no,no,no,Top-level dataset repository or agreement source.
GEM/wiki_cat_sum,205217374.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
giannor/dala_tv2r_it,68526212.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,DFM project-generated derivative of CC-licensed TV2R text from Danish Gigaword/DynaWord.
giannor/gec_dala_tv2r_it,192947845.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,DFM project-generated derivative of CC-licensed TV2R text from Danish Gigaword/DynaWord.
glaiveai/glaive-function-calling-v2,155522712.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
HuggingFaceH4/no_robots,31428240.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,Top-level dataset repository or agreement source.
kobprof/skolegpt-instruct,86400296.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,Top-level dataset repository or agreement source.
laion/Scientific-Summaries,1271200636.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
Lex.dk,313397450.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,no,no,no,no,no,no,Top-level dataset repository or agreement source.
MegaScience/TextbookReasoning,374316487.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,Top-level dataset repository or agreement source.
nvidia/AceReason-1.1-SFT,1945044893.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
nvidia/Nemotron-SFT-Agentic-v2,4269165904.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,1603274447.0,express_publisher_permission,no,not_needed_within_direct_scope,no,no,no,no,yes,no,no,Publisher-owned hybrid/synthetic instruction corpus with express training permission.
nvidia/Nemotron-SFT-Multilingual-v1,412858235.4,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
nvidia/OpenMathInstruct-2,6602901165.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/autodata-da-sft,18866180.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/da-instruct-dynaword,102841604.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/da-instruct-dynaword-contemporary,17555252.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/da-instruct-dynaword-contemporary-hq,25552512.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/da-instruct-dynaword-hq,24064080.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/danish-qa,57462536.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/danish-summarization,168358988.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Two-source aggregate: oliverkinch/eur-lex-sum and alexandrainst/nordjylland-news-summarization.
oliverkinch/danish-university-portals-bt,21765750.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
oliverkinch/danmarks-statistik-bt,18862480.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/doab-da-bt,693880.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/dst-table-prompts-bt,51085160.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/dynaword-bt,34305002.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
oliverkinch/eur-lex-bt,16694550.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
oliverkinch/eur-lex-sum-instruct,2628790.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
oliverkinch/instruct-bt,13460570.0,agreement_backed_direct,no,not_needed_within_direct_scope,yes,yes,no,no,no,no,no,Aggregate of DynaWord and agreement-covered Danish data-owner sources.
oliverkinch/machine-translation-da-ar,139555342.4,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,yes,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/machine-translation-da-en,284358597.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,yes,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/machine-translation-da-uk,69495094.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,yes,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/multi-wiki-qa-high-quality-subset,41911650.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
oliverkinch/tidsskrift-dk-bt,76668304.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
open-thoughts/OpenThoughts2-1M,534474638.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
Salesforce/xlam-function-calling-60k,66967968.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
sapientinc/HRM-Text-data-io-cleaned-20260515,21380034516.8,article3_reliance_required,required,conditional_not_cleared,no,no,no,no,no,no,no,Mixture/derived repository; component-level rights control.
schneiderkamplab/common-pile-denoising,883618038.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
schneiderkamplab/common-pile-paragraph-reordering,166705119.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
schneiderkamplab/common-pile-prefix-continuation,1153663578.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
schneiderkamplab/common-pile-span-filling,822495999.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
schneiderkamplab/danish-dynaword-denoising,323226788.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
schneiderkamplab/danish-dynaword-paragraph-reordering,160473180.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
schneiderkamplab/danish-dynaword-prefix-continuation,251806228.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
schneiderkamplab/danish-dynaword-span-filling,250858496.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Derived from Danish DynaWord; constituent source licence/status controls.
schneiderkamplab/dfm8-openhermes-da,922033292.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Mixture/derived repository; component-level rights control.
schneiderkamplab/dfm8-openhermes-en,672131532.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Mixture/derived repository; component-level rights control.
schneiderkamplab/dfm8-synthetic-code-debugging,246646769.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/dfm8-synthetic-constrained-format-following,171088193.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,395960288.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/dfm8-synthetic-multiturn-danish-english-chat,366469258.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/dfm8-synthetic-native-tool-calling,513088304.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/dfm8-synthetic-strict-math-answer-contract,173411485.0,project_controlled_open_seed,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Project-generated and audited; verify seed manifests for retained source expression.
schneiderkamplab/opus-da-en-permissive,2903437259.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc,13106102.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN QReCC dialogue regimes; task provenance is the CC BY-SA 3.0 QReCC corpus."
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc-ii,2912505.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN QReCC dialogue regimes; task provenance is the CC BY-SA 3.0 QReCC corpus."
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc,1728299.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN QReCC dialogue regimes; task provenance is the CC BY-SA 3.0 QReCC corpus."
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc-ii,512987.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN QReCC dialogue regimes; task provenance is the CC BY-SA 3.0 QReCC corpus."
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,4789274.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN AESLC rendering regimes; task provenance is the CC BY-NC-SA 4.0 AESLC corpus."
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,527024.0,manual_low_risk_acceptance,no,conditional_not_cleared,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-rotten-tomatoes,1739367.0,manual_low_risk_acceptance,no,reservation_detected_not_available,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-aeslc-1.0.0,10159455.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN AESLC rendering regimes; task provenance is the CC BY-NC-SA 4.0 AESLC corpus."
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-idebate,745866.0,manual_low_risk_acceptance,no,conditional_not_cleared,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-fsopt-data-opinion-abstracts-rotten-tomatoes,4313282.0,manual_low_risk_acceptance,no,reservation_detected_not_available,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-aeslc-1.0.0,1909893.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN AESLC rendering regimes; task provenance is the CC BY-NC-SA 4.0 AESLC corpus."
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-idebate,222807.0,manual_low_risk_acceptance,no,conditional_not_cleared,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-zsnoopt-data-opinion-abstracts-rotten-tomatoes,616034.0,manual_low_risk_acceptance,no,reservation_detected_not_available,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-aeslc-1.0.0,1729747.0,noncommercial_licensed_direct,no,not_needed_within_direct_scope,no,no,no,yes,no,no,no,"Project-generated, PII-audited, low-overlap recreation of one of four FLAN AESLC rendering regimes; task provenance is the CC BY-NC-SA 4.0 AESLC corpus."
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-idebate,222628.0,manual_low_risk_acceptance,no,conditional_not_cleared,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-flan-zsopt-data-opinion-abstracts-rotten-tomatoes,622031.0,manual_low_risk_acceptance,no,reservation_detected_not_available,no,no,no,no,no,no,no,"Project-generated, PII-audited, low-overlap recreation of a FLAN Opinion Abstracts regime; historical seed use follows Article 3 because no direct source-content licence was found."
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1309-amazonreview-summary-classification,1948021.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1370-newscomm-classification,720660.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1371-newscomm-translation,703194.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1373-newscomm-translation,1060440.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1374-newscomm-translation,598761.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1375-newscomm-translation,1168532.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1376-newscomm-translation,974302.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task1377-newscomm-translation,679180.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task264-paper-reviews-accept-reject,139871.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task265-paper-reviews-language-identification,395317.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task266-paper-reviews-reviewer-perspective,235696.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task589-amazonfood-summary-text-generation,2814833.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task590-amazonfood-summary-correction-classification,2539909.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task618-amazonreview-summary-text-generation,2177827.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task634-allegro-reviews-classification,816301.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task635-allegro-reviews-answer-generation,816257.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task672-amazon-yelp-summarization,198111.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task870-msmarco-answer-generation,598966.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task871-msmarco-question-generation,71057.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task902-deceptive-opinion-spam-classification,877555.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task903-deceptive-opinion-spam-classification,534985.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task906-dialogre-identify-names,235077.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task907-dialogre-identify-relationships,46025.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task908-dialogre-identify-familial-relationships,68410.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-fsopt-data-task909-dialogre-prevalent-speakers,295703.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1309-amazonreview-summary-classification,795481.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1370-newscomm-classification,1929.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1371-newscomm-translation,170549.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1373-newscomm-translation,267691.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1374-newscomm-translation,173515.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
schneiderkamplab/sapient-synth-flan-niv2-zsopt-data-task1375-newscomm-translation,265049.0,manual_low_risk_acceptance,no,not_needed_within_direct_scope,no,no,no,no,no,no,no,Synthetic repair of named Sapient/FLAN/NIV2 source; upstream expression may remain.
