source_or_group,average_tokens_per_epoch,audit_status,article3_outcome,remaining_issue,evidence
allenai/SciRIFF-train-mix,132295148.0,audited_component_permission,not_required,"Exact local composition is 35000 SciRIFF rows plus 35714 Tulu-v2 rows. SciRIFF uses MAN-014 Article 4 and MAN-022 covers inherited ShareGPT participant expression for the current research purpose.","legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md; legal/reports/dfm9-manual-acceptances-and-overrides.md; exact 70714-row local artifact"
synquid/translation-100k,98234612.0,audited_direct_lineage,not_required,"Every row identifies oliverkinch/machine-translation-da-en and underlying OPUS source","100000-row parquet meta/sources fields; Oliver card and source terms"
allenai/open_math_2_50k_r1-original,71816694.0,audited_direct_open_lineage,not_required,"OpenMathInstruct-2 CC-BY-4.0; GSM8K MIT; DeepSeek-R1 MIT terms permit distillation/training","49829-row parquet problem_source and generated_solution fields; NVIDIA OpenMathInstruct-2, GSM8K, and DeepSeek-R1 cards"
danish-foundation-models/ai_arena_udtraek,45690600.0,audited_direct_open_terms,not_required,"Danish extraction of ComparIA conversations/reactions under Etalab Open Licence 2.0; privacy remains separate","local/HF card and exact revision"
allenai/IF_sft_data_verified,19940266.0,audited_tulu3_derivative,not_required,"All 31751 IDs exactly match audited Tulu-3 rows across all 19 component labels; Ai2 adds the constraint and regenerated response. Existing Tulu-3 Article 4 conditions remain, with no new Article 3 reliance.","legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md; exact ID join against local Tulu-3 artifact"
synquid/danish-verifiable-reasoning,18131360.0,direct_project_and_publisher_contributions,not_required,"Synquid's generated contribution is authorized by DFM; Ai2 identifies the inherited DOLCI logic puzzles as new Ai2 prompts released for research under ODC-By","2800-row sources/meta inspection; DOLCI main dataset card; project-owner confirmation 2026-08-17"
synquid/ifbench-train,12689130.0,audited_express_permission,not_required,"Synquid's constraints/answers are authorized by DFM; affirmative WildChat consent is accepted as express permission for current research model training; privacy controls remain separate","2000-row sources/meta inspection; WildChat ICLR 2024 consent appendix; project-owner decision 2026-08-17"
synquid/mt-da-deepseek,8886412.0,audited_direct_project_lineage,not_required,"Project-generated dialogues use confirmed DynaWord source passages or handcrafted seeds","1251-row source distribution: 1051 dynaword and 200 handcrafted"
allenai/RLVR-MATH,8066943.0,audited_direct_open_terms,not_required,"All rows identify the MIT-licensed Hendrycks MATH dataset","7500-row dataset field distribution; official MATH repository"
ccdv/govreport-summarization,4412112.0,audited_public_domain_lineage,not_required,"Reports and summaries come from GAO and CRS government publications; preserve attribution and embedded-work caveat","local card; GovReport paper; GAO copyright statement"
DBC,356114318.8,audited_direct_agreement,not_required,"DFM/data-owner agreement permits model training and model release; other contract terms remain scope-dependent","project-owner confirmation 2026-08-17; confidential agreement retained outside repository"
Lex.dk,313397450.0,audited_direct_agreement,not_required,"DFM/data-owner agreement permits model training and model release; other contract terms remain scope-dependent","project-owner confirmation 2026-08-17; confidential agreement retained outside repository"
