source_id,source_url,dfm9_prefix_or_category,sampled_tokens_five_epochs,average_sampled_tokens_per_epoch,dfm9_share,captured_declared_licence,copyright_class,current_scientific_research_basis,nonresearch_or_commercial_basis,article3_required,article4_status,lineage_scope,confidence,rationale,acquisition_evidence,current_metadata_evidence,human_review_required
allenai/verifiable-reasoning-filtered-o4-mini,https://huggingface.co/datasets/allenai/verifiable-reasoning-filtered-o4-mini,allenai_verifiable_reasoning_o4mini,400993502,80198700.4,0.10032525%,,article3_research_tdm_candidate,"DSM Article 3 candidate for scientific research, lawful access and secure retention required",DSM Article 4 only if lawful access and no effective rights reservation are evidenced,yes,conditional_not_cleared,Top-level dataset repository or agreement source.,low,"The schema-only release maps to the MIT-licensed RLVE-Gym generators, but RLVE source comments link 122 of the 250 retained environment variants to external problem sources (115 to Luogu, plus Codeforces, HDU, SPOJ, X and Wikipedia). Generator-code licensing does not automatically license source problem expression. A 250-variant prompt audit narrowed plausible close/carryover expression, and the project owner manually accepted the complete RLVE family for current academic/research training and downstream-mixture consideration on 2026-08-17; Article 3 remains the fallback where needed.",data/downloads/datasets/allenai_verifiable_reasoning_o4mini/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/verifiable-reasoning-filtered-o4-mini,yes
ccdv/govreport-summarization,https://huggingface.co/datasets/ccdv/govreport-summarization,dfm4_govreport_summarization,22061510,4412302.0,0.00551961%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,GovReport consists of GAO and CRS reports and their published summaries; the source paper records them as US-government public-domain material. Preserve GAO/CRS attribution and do not assume separately credited embedded works are covered.,data/downloads/datasets/govreport_summarization/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/ccdv/govreport-summarization,yes
common-pile/arxiv_papers_filtered,https://huggingface.co/datasets/common-pile/arxiv_papers_filtered,dfm4_arxiv_paper_summarization,647930660,129586132.0,0.16210687%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Common Pile derivative governed by retained per-record open/public-domain source terms.,data/downloads/datasets/common_pile_arxiv_papers_filtered/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/common-pile/arxiv_papers_filtered,yes
danish-foundation-models/ai_arena_udtraek,https://huggingface.co/datasets/danish-foundation-models/ai_arena_udtraek,ai_arena_udtraek,228453000,45690600.0,0.05715704%,etalab-2.0,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,The card identifies this as a Danish extraction of the ComparIA conversations and reactions datasets under Etalab Open Licence 2.0; privacy is reviewed separately.,data/downloads/datasets/ai_arena_udtraek/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/danish-foundation-models/ai_arena_udtraek,yes
danish-foundation-models/dfm-dyna-instruct,https://huggingface.co/datasets/danish-foundation-models/dfm-dyna-instruct,dfm_dyna_instruct,17719358310,3543871662.0,4.43323637%,cc-by-4.0,mixed_licences_and_article3_fallback,CC-BY-4.0 collection and direct component terms; DSM Article 3 only for uncovered retained source expression in the audited Tulu/Apertus branches,Article 4 is only a conditional alternative for general/nonresearch use; otherwise component-by-component permission is required for Article 3-backed layers,fallback,conditional_not_cleared,Mixture/derived repository; component-level rights control.,high,"The DFM Dyna dependency DAG is fully resolved for current scientific research. Direct terms cover the DFM-authored, WildChat-consented, Tulu-audited, and nine directly licensed Apertus boundaries. FLAN v2, SciRIFF, and four uncovered OpenHermes families use Article 4 by project-owner determination; Mixture-of-Thoughts uses a recorded residual-risk acceptance. Article 3 remains necessary only for LongAlign source documents (including SmolTalk imports) and EuroBlocks annealing seeds; MAN-017 and MAN-018 approve those fallbacks for the current academic/non-commercial scientific-research purpose. See legal/reports/dfm9-apertus-component-audit.md and legal/reports/dfm9-tulu3-mixture-audit.md.",data/downloads/datasets/dfm_dyna_instruct/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/danish-foundation-models/dfm-dyna-instruct,yes
danish-foundation-models/kaenguruen,https://huggingface.co/datasets/danish-foundation-models/kaenguruen,kaenguruen,3188900,637780.0,0.00079784%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/kaenguruen/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/danish-foundation-models/kaenguruen,scope_check
danish-foundation-models/laerebogen,https://huggingface.co/datasets/danish-foundation-models/laerebogen,laerebogen_with_followups,41603464640,8320692928.0,10.40884153%,apache-2.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/laerebogen_with_followups/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/danish-foundation-models/laerebogen,scope_check
DBC,,dbc,1780571594,356114318.8,0.44548423%,,agreement_or_contract,direct DFM/data-owner agreement permitting model training and model release,same direct basis within the agreement; other downstream uses remain scope-dependent,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,high,On 2026-08-17 the project owner confirmed that the DBC and Lex.dk agreements permit training and model release.,docs/dfm8-datasets.md,,yes
GEM/wiki_cat_sum,https://huggingface.co/datasets/GEM/wiki_cat_sum,dfm4_wiki_cat_sum_summarization,1026086870,205217374.0,0.25671842%,cc-by-sa-3.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/wiki_cat_sum/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/GEM/wiki_cat_sum,scope_check
giannor/dala_tv2r_it,https://huggingface.co/datasets/giannor/dala_tv2r_it,giannor_dala_tv2r_it,342631060,68526212.0,0.08572345%,,project_generated_derivative_of_open_source,DFM project-generated derivative plus the TV2R source licence,same direct basis if TV2R attribution/share-alike obligations are retained,no,not_needed_within_direct_scope,DFM project-generated derivative of CC-licensed TV2R text from Danish Gigaword/DynaWord.,high,On 2026-08-17 the project owner confirmed that Giannor created the derivative as part of the DFM project. Retained TV2R sentences trace to Danish Gigaword/DynaWord; apply the stricter captured CC-BY-SA 4.0 terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/giannor/dala_tv2r_it,scope_check
giannor/gec_dala_tv2r_it,https://huggingface.co/datasets/giannor/gec_dala_tv2r_it,giannor_gec_dala_tv2r_it,964739225,192947845.0,0.24136975%,,project_generated_derivative_of_open_source,DFM project-generated derivative plus the TV2R source licence,same direct basis if TV2R attribution/share-alike obligations are retained,no,not_needed_within_direct_scope,DFM project-generated derivative of CC-licensed TV2R text from Danish Gigaword/DynaWord.,high,On 2026-08-17 the project owner confirmed that Giannor created the derivative as part of the DFM project. Retained TV2R sentences trace to Danish Gigaword/DynaWord; apply the stricter captured CC-BY-SA 4.0 terms.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/giannor/gec_dala_tv2r_it,scope_check
glaiveai/glaive-function-calling-v2,https://huggingface.co/datasets/glaiveai/glaive-function-calling-v2,glaive_native_tool_use,777613560,155522712.0,0.19455246%,apache-2.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/glaive_function_calling_v2/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/glaiveai/glaive-function-calling-v2,scope_check
HuggingFaceH4/no_robots,https://huggingface.co/datasets/HuggingFaceH4/no_robots,no_robots,157141200,31428240.0,0.03931542%,cc-by-nc-4.0,direct_noncommercial_licence,"direct licence for academic/non-commercial use, subject to attribution/share-alike terms",direct only for non-commercial uses; commercial/general use not cleared by this review,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,The declared licence contains a NonCommercial restriction.,data/downloads/datasets/no_robots/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/HuggingFaceH4/no_robots,yes
kobprof/skolegpt-instruct,https://huggingface.co/datasets/kobprof/skolegpt-instruct,kobprof_skolegpt_instruct,432001480,86400296.0,0.10808318%,cc-by-nc-4.0,direct_noncommercial_licence,"direct licence for academic/non-commercial use, subject to attribution/share-alike terms",direct only for non-commercial uses; commercial/general use not cleared by this review,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,The declared licence contains a NonCommercial restriction.,data/downloads/datasets/kobprof_skolegpt_instruct/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/kobprof/skolegpt-instruct,yes
laion/Scientific-Summaries,https://huggingface.co/datasets/laion/Scientific-Summaries,dfm4_laion_scientific_summaries,6356003180,1271200636.0,1.59021924%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/laion_scientific_summaries/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/laion/Scientific-Summaries,scope_check
Lex.dk,,lexdk,1566987250,313397450.0,0.39204720%,,agreement_or_contract,direct DFM/data-owner agreement permitting model training and model release,same direct basis within the agreement; other downstream uses remain scope-dependent,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,high,On 2026-08-17 the project owner confirmed that the DBC and Lex.dk agreements permit training and model release.,docs/dfm8-datasets.md,,yes
MegaScience/TextbookReasoning,https://huggingface.co/datasets/MegaScience/TextbookReasoning,textbookreasoning,1871582435,374316487.0,0.46825439%,cc-by-nc-sa-4.0,direct_noncommercial_licence,"direct licence for academic/non-commercial use, subject to attribution/share-alike terms",direct only for non-commercial uses; commercial/general use not cleared by this review,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,The declared licence contains a NonCommercial restriction.,data/downloads/datasets/textbook_reasoning/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/MegaScience/TextbookReasoning,yes
nvidia/AceReason-1.1-SFT,https://huggingface.co/datasets/nvidia/AceReason-1.1-SFT,acereason,9725224465,1945044893.0,2.43317044%,cc-by-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,docs/dfm8-datasets.md,https://huggingface.co/api/datasets/nvidia/AceReason-1.1-SFT,scope_check
