id,priority,document,action,owner,status,target_date,evidence_or_resolution
LEG-018,P0,copyright,Approve Article 3 reliance by institution national implementation lawful access and safeguards,,human_required,,Requires institution-specific legal analysis
LEG-019,P0,public/policies,Approve and publish rights and privacy request contact and handling targets,,human_required,,Requires provider contact and service commitment
LEG-020,P1,governance,Approve evidence retention period security and access controls,,human_required,,Requires institutional records and security policy decision
LEG-021,P1,annex-xi,Approve intended tasks and permitted integration classes,,human_required,,Technical capability and limitation documentation is drafted
LEG-022,P1,annex-xi/downstream,Approve plain-language acceptable-use policy,,human_required,,Requires provider risk acceptance
LEG-023,P1,annex-xi/downstream,Attest release-time dependency environment or approve current tested serving reference as the supported baseline,,human_required,,Release artifact hashes and current tested package versions are frozen; historical release environment is not recoverable from repository alone
LEG-024,P1,annex-xi,Supply or attest exact training start stop interruption and active-time records,,human_required,,Checkpoint span and under-504.17-hour active bound documented; exact segments require HPC or operator records
LEG-025,P1,annex-xi,Approve architecture training rationale curriculum and BP schedule note,,human_required,,Technical configuration and phase evidence are documented; rationale sign-off is an accountable design decision
LEG-026,P1,annex-xi,Document validation corpus or explicitly justify no validation corpus,,resolved_engineering,2026-08-15,Saved config proves no validation corpus; monitoring and checkpoint selection method documented
LEG-027,P0,scope/annex-xi,Independently review and approve cumulative FLOP methodology and final value,,human_required,,Arithmetic reproduced at 1.18212893148708864e22 major FLOPs and 1.19e22 rounded bound
LEG-028,P0,annex-xi,Provide facility telemetry or approve the documented energy estimate and uncertainty,,human_required,,Engineering nameplate bounds are 4.033 MWh GPU-only and 7.210 MWh DGX-system analogue
LEG-029,P1,annex-xi,Attest exact production evaluation code revisions and approve the frozen evidence manifest,,human_required,,39 task groups and 1252 SHA-256 artifact rows are frozen; current working-tree inputs are not proof of the July production revision
LEG-030,P1,annex-xi,Approve proportionate safety threat model test thresholds reviewer protocol and release response,,human_required,,Existing and missing coverage documented in legal/controls/08-evaluation-and-safety-evidence.md; execution follows owner-approved scope
LEG-031,P1,downstream,Publish technical integration contact,,human_required,,Requires authorized public contact
LEG-032,P1,downstream/security,Publish vulnerability reporting contact and approve procedure,,human_required,,Requires security owner and institutional response commitment
LEG-033,P1,downstream,Approve and publish correction version and withdrawal notice location,,human_required,,Requires release authority
LEG-034,P0,privacy,Assign DPO reviewer and DPIA decision owner,,human_required,,Governance appointment
LEG-035,P0,privacy,Identify controller entities by processing phase,,human_required,,Requires institutional role determination
LEG-036,P1,privacy,Assess and document joint controllership,,human_required,,Requires DPO/legal and partner review
LEG-037,P1,privacy,Confirm processors infrastructure providers synthetic-model providers and applicable contracts,,human_required,,Technical services are partially inventoried; contractual role confirmation is required
LEG-038,P1,privacy,Approve personal-data and data-subject category inventory across historical exposure,,human_required,,Exact phase exposure and 161-source privacy triage are complete; DPO category determination remains
LEG-039,P0,privacy,Assess special-category criminal-offence and minors data and safeguards,,human_required,,No corpus-wide measured audit supports exclusion; DPO/legal review required
LEG-040,P1,privacy,Assess international data transfers and safeguards,,human_required,,Requires provider processor and hosting jurisdiction records
LEG-041,P0,privacy/public,Approve revised public personal-data wording or substantiate stronger exclusion claim,,human_required,,Engineering evidence supports controls-and-residual-risk wording not categorical exclusion
LEG-042,P1,governance,Assign Annex XI documentation owner,,human_required,,Governance appointment
LEG-043,P1,governance,Assign model evaluation and safety owner,,human_required,,Governance appointment
LEG-044,P1,governance,Assign security and incident owner,,human_required,,Governance appointment
LEG-045,P1,governance,Record repository account owner and release authority,,human_required,,Requires institutional authority and account records
LEG-046,P0,copyright,Decide the operative permission basis for ShareGPT participant expression in Tulu v2 and SciRIFF Train Mix,"Professor Peter Schneider-Kamp, University of Southern Denmark",resolved_human,2026-08-18,MAN-022 accepts deliberate one-click public publication and public-API availability as participant permission for current academic/non-commercial research training; same operative status as WildChat but not evidence-equivalent and not a blanket Apache-2.0 licence
