variant,rlve_environment,source_comment_url,source_domain,source_title_or_proxy,source_fetch_status,comparison_bin,review_status,gpt41_rows,gpt41_tokens,o4mini_rows,o4mini_tokens,normalized_fourgram_min_coverage,normalized_longest_token_run,finding,manual_override,override_scope
bridge,bridge,,,,,native_generator_no_source_comment,no_external_expression_identified,420,442044,362,127988,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
bucketsorting,bucket_sorting,,,,,native_generator_no_source_comment,no_external_expression_identified,2205,811688,1734,258825,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
campfireparty,campfire_party,https://www.luogu.com.cn/problem/P1053,www.luogu.com.cn,P1053 [NOIP 2005 Senior] Bonfire Party,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,335,772069,309,203342,0.045,5,Retains the source-specific circular seating objective and cyclic student-move operation.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
campsitepuzzle,campsite_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,2140,3658242,1603,630906,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
canon,canon,https://www.luogu.com.cn/problem/P3214,www.luogu.com.cn,P3214 [HNOI2011] Canon,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,431,961158,361,110956,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
cardcoloringcounting,card_coloring_counting,https://www.luogu.com.cn/problem/P1446,www.luogu.com.cn,P1446 [HNOI2008] Cards,200,close_but_constrained_restatement,manually_accepted_for_current_research,1641,2756212,1367,507438,0.127,18,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
catalannumbermod,catalan_number_mod,https://www.luogu.com.cn/problem/P3200,www.luogu.com.cn,P3200 [HNOI2009] Interesting Sequence,200,close_but_constrained_restatement,manually_accepted_for_current_research,447,564113,357,144340,0.053,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
cinema,cinema,https://www.luogu.com.cn/problem/P3330,www.luogu.com.cn,P3330 [ZJOI2011] Watching a Movie,200,close_but_constrained_restatement,manually_accepted_for_current_research,1263,3137539,1066,360752,0.036,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
circuit,circuit,,,,,native_generator_no_source_comment,no_external_expression_identified,447,547928,386,161916,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
circulatingdecimalcounting,circulating_decimal_counting,https://www.luogu.com.cn/problem/P1587,www.luogu.com.cn,P1587 [NOI2016] The Beauty of Cycles,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,388,904656,371,224921,0.251,16,"Retains the source-specific pure-repeating-decimal definition, notation, and examples.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
coloringcounting,coloring_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,1929,6326851,1941,789314,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
combinationoddsubsequencecounting,combination_odd_subsequence_counting,https://www.luogu.com.cn/problem/P3773,www.luogu.com.cn,P3773 [CTSC2017] Gift,200,close_but_constrained_restatement,manually_accepted_for_current_research,417,786830,320,127172,0.04,4,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
concatenationpartitioncountingsum,concatenation_partition_counting_sum,https://www.luogu.com.cn/problem/P3176,www.luogu.com.cn,P3176 [HAOI2015] Digit String Partition,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,319,1060683,378,115992,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
congruentequation,congruent_equation,https://www.luogu.com.cn/problem/P1082,www.luogu.com.cn,P1082 [NOIP 2012 Senior] Congruence Equation,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1789,929583,1419,338891,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
constructhackinterval,construct_hack_interval,https://codeforces.com/problemset/problem/468/C,codeforces.com,CF468C Hack it!,200,close_but_constrained_restatement,manually_accepted_for_current_research,266,704901,256,78693,0.163,11,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
convexhull,convex_hull,,,,,native_generator_no_source_comment,no_external_expression_identified,2238,4937661,1938,767527,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
countdownclose,,,,,,unmatched_dataset_variant,manually_accepted_for_current_research,2179,5705837,1761,322173,,,Dataset ID prefix did not map to an RLVE environment under normalized exact-name matching; inspect its actual generator lineage separately.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
countdownequal,,,,,,unmatched_dataset_variant,manually_accepted_for_current_research,2117,5330958,1698,270030,,,Dataset ID prefix did not map to an RLVE environment under normalized exact-name matching; inspect its actual generator lineage separately.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
crt,crt,,,,,native_generator_no_source_comment,no_external_expression_identified,314,148122,245,57132,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
cryptarithmetic,cryptarithmetic,,,,,native_generator_no_source_comment,no_external_expression_identified,1067,4296395,2005,1154903,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
cube_fixedlocalmaximumcounting,cube_fixed_local_maximum_counting,https://www.luogu.com.cn/problem/P5400,www.luogu.com.cn,P5400 [CTS2019] Random Cube,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,281,1074357,243,43265,0.02,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
cyclecounting,cycle_counting,https://codeforces.com/problemset/problem/11/D,codeforces.com,CF11D A Simple Task,200,close_but_constrained_restatement,manually_accepted_for_current_research,2001,5768137,1770,564437,0.244,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
decreasingdigitcounting,decreasing_digit_counting,https://www.luogu.com.cn/problem/P1066,www.luogu.com.cn,P1066 [NOIP 2006 Senior] $2^k$-ary Number,200,close_but_constrained_restatement,manually_accepted_for_current_research,275,722777,218,92648,0.074,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
degreefixed_spanningtree,degree_fixed_spanning_tree,,,,,native_generator_no_source_comment,no_external_expression_identified,436,973282,373,254726,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
deltaminpopcount,delta_min_popcount,,,,,native_generator_no_source_comment,no_external_expression_identified,1337,3806084,1095,381301,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
differenceconstraintsystem,difference_constraint_system,,,,,native_generator_no_source_comment,no_external_expression_identified,448,614325,396,197603,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
differentiate,differentiate,,,,,native_generator_no_source_comment,no_external_expression_identified,1850,660586,1514,317359,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
digitliscounting,digit_lis_counting,https://acm.hdu.edu.cn/showproblem.php?pid=4352,acm.hdu.edu.cn,XHXJ's LIS,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,2172,5754448,1475,427668,0.0,0,Retains the coined power-of-a-number terminology and digit-LIS definition.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
discretelogarithm,discrete_logarithm,https://www.spoj.com/problems/MOD/,www.spoj.com,MOD - Power Modulo Inverted,403,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1879,846836,1419,226532,0.0,0,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
division,division,,,,,native_generator_no_source_comment,no_external_expression_identified,2234,1216434,1585,236861,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
divisorflipexpectation,divisor_flip_expectation,https://www.luogu.com.cn/problem/P3750,www.luogu.com.cn,P3750 [Six-Province Joint Exam 2017] Breakup Is a Blessing,200,close_but_constrained_restatement,manually_accepted_for_current_research,1573,5334440,1364,541198,0.047,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
doublepalindromicstringcounting,double_palindromic_string_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,56,161909,51,12692,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
doublestacksorting,double_stack_sorting,,,,,native_generator_no_source_comment,no_external_expression_identified,1748,3452172,1377,505512,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
eightdigitpuzzle,eight_digit_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,2173,4375104,1715,555773,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
euclidgame,euclid_game,https://www.luogu.com.cn/problem/P1290,www.luogu.com.cn,P1290 Euclid's Game,200,close_but_constrained_restatement,manually_accepted_for_current_research,2204,2425601,1495,469156,0.058,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
expression_addingparenthese_counting,expression_adding_parenthese_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,2172,4724041,1802,359104,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
fbi_binarytree,fbi_binary_tree,https://www.luogu.com.cn/problem/P1087,www.luogu.com.cn,P1087 [NOIP 2004 Junior] FBI Tree,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,250,698266,303,150267,0.134,11,"Retains the coined B/I/F string classes, FBI-tree name, and recursive construction.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
fibonacci,fibonacci,https://www.luogu.com.cn/problem/P1349,www.luogu.com.cn,P1349 Generalized Fibonacci Sequence,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,433,941476,334,78342,0.0,2,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
fibtrain,fibtrain,https://www.luogu.com.cn/problem/P1011,www.luogu.com.cn,P1011 [NOIP 1998 Senior] Station,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,2178,3582225,1670,876543,0.067,7,Retains the detailed train/station scenario and bespoke boarding/alighting recurrence.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
fixedmodk_selection_counting,fixed_mod_k_selection_counting,https://www.luogu.com.cn/problem/P3746,www.luogu.com.cn,P3746 [Six-Province Joint Exam 2017] Binomial Coefficients Problem,200,close_but_constrained_restatement,manually_accepted_for_current_research,2058,6650965,1914,317658,0.423,14,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
fixedoneedgenum_spanningtree,fixed_one_edge_num_spanning_tree,https://www.luogu.com.cn/problem/P3623,www.luogu.com.cn,P3623 [APIO2008] Free Roads,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2240,4034195,1762,1052667,0.016,6,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
fractionalprogramming,fractional_programming,https://www.luogu.com.cn/problem/P10505,www.luogu.com.cn,P10505 Dropping Test,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2235,2520070,1852,596416,0.0,3,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
fractionalprogramming_bipartitegraphmatching,fractional_programming_bipartite_graph_matching,https://www.luogu.com.cn/problem/P3705,www.luogu.com.cn,P3705 [SDOI2017] Freshmen Welcome Ball,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2108,7624140,2060,874777,0.0,2,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
futoshikipuzzle,futoshiki_puzzle,,,,,native_generator_no_source_comment,no_external_expression_identified,1887,5653401,1893,1034227,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gaussianelimination,gaussian_elimination,,,,,native_generator_no_source_comment,no_external_expression_identified,2222,4237111,1675,1280802,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gcdlcmcounting,gcd_lcm_counting,https://www.luogu.com.cn/problem/P1029,www.luogu.com.cn,P1029 [NOIP 2001 Junior] Greatest Common Divisor and Least Common Multiple Problem,200,close_but_constrained_restatement,manually_accepted_for_current_research,1525,1071976,1153,348215,0.109,8,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
gcdone_counting,gcd_one_counting,https://www.luogu.com.cn/problem/P2257,www.luogu.com.cn,P2257 YY's GCD,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1669,2167299,1173,384675,0.081,8,The prompt asks for coprime pairs while the cited P2257 asks for prime-GCD pairs; it materially changes the cited objective.,none,
gcdprime_counting,gcd_prime_counting,https://www.luogu.com.cn/problem/P2257,www.luogu.com.cn,P2257 YY's GCD,200,close_but_constrained_restatement,manually_accepted_for_current_research,334,405513,231,82429,0.138,8,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
goldwashing,gold_washing,https://www.luogu.com.cn/problem/P3303,www.luogu.com.cn,P3303 [SDOI2013] Gold Mining,200,close_but_constrained_restatement,manually_accepted_for_current_research,983,728737,765,220400,0.095,11,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
graphcontaintreecounting,graph_contain_tree_counting,https://www.luogu.com.cn/problem/P3349,www.luogu.com.cn,P3349 [ZJOI2016] Little Stars,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1981,7610997,1980,672968,0.011,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
graphisomorphism,graph_isomorphism,,,,,native_generator_no_source_comment,no_external_expression_identified,1864,4627224,1605,854601,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gridbfs,grid_bfs,,,,,native_generator_no_source_comment,no_external_expression_identified,2235,4164590,1684,695745,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gridcoloringcounting,grid_coloring_counting,https://www.luogu.com.cn/problem/P3158,www.luogu.com.cn,P3158 [CQOI2011] Placing Pieces,200,close_but_constrained_restatement,manually_accepted_for_current_research,447,328188,371,86369,0.076,8,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
gridcomponent,grid_component,,,,,native_generator_no_source_comment,no_external_expression_identified,2207,2694806,1668,484539,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gridlocalminimumcounting,grid_local_minimum_counting,https://www.luogu.com.cn/problem/P3160,www.luogu.com.cn,P3160 [CQOI2012] Local Minima,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1290,3554266,1083,268392,0.018,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
gridparityconstruction,grid_parity_construction,,,,,native_generator_no_source_comment,no_external_expression_identified,339,1070310,389,120946,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
gridtrianglecounting,grid_triangle_counting,https://www.luogu.com.cn/problem/P3166,www.luogu.com.cn,P3166 [CQOI2014] Counting Triangles,200,close_but_constrained_restatement,manually_accepted_for_current_research,341,910632,302,49672,0.1,5,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
halvingchaincounting,halving_chain_counting,https://www.luogu.com.cn/problem/P1028,www.luogu.com.cn,P1028 [NOIP 2001 Junior] Number Calculation,200,close_but_constrained_restatement,manually_accepted_for_current_research,1315,3317644,1035,497795,0.073,8,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
hamiltonianpath,hamiltonian_path,,,,,native_generator_no_source_comment,no_external_expression_identified,416,1074840,397,208068,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
hamiltonianpathexistence,hamiltonian_path_existence,,,,,native_generator_no_source_comment,no_external_expression_identified,444,429582,372,171367,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
heapcounting,heap_counting,https://www.luogu.com.cn/problem/P2606,www.luogu.com.cn,P2606 [ZJOI2010] Permutation Counting,200,close_but_constrained_restatement,manually_accepted_for_current_research,1856,3844504,1284,403671,0.116,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
